Номер заказа;Артикул заказа;Дата заказа;Дата доставки;Адрес пункта выдачи;ФИО авторизированного клиента;Код для получения;Статус заказа;;;;
1;А112Т4, 2, G843H5, 2;2023-02-27 00:00:00;2023-04-20 00:00:00;1;Степанов Михаил Артёмович;901;Новый ;;;;
2;G843H5, 1, А112Т4, 1;2022-09-28 00:00:00;2023-04-21 00:00:00;11;Никифорова Весения Николаевна;902;Новый ;;;;
3;D325D4, 10, S432T5, 10;2023-03-21 00:00:00;2023-04-22 00:00:00;2;Сазонов Руслан Германович;903;Новый ;;;;
4;F325D4, 5, D325D4, 4;2023-02-20 00:00:00;2023-04-23 00:00:00;11;Одинцов Серафим Артёмович;904;Завершен;;;;
5;G432G6, 20, H542F5, 20;2023-03-17 00:00:00;2023-04-24 00:00:00;2;Степанов Михаил Артёмович;905;Завершен;;;;
6;А112Т4, 2, G843H5, 2;2023-03-01 00:00:00;2023-04-25 00:00:00;15;Никифорова Весения Николаевна;906;Завершен;;;;
7;C346F5, 3, F256G6, 3;30.02.2023;2023-04-26 00:00:00;3;Сазонов Руслан Германович;907;Завершен;;;;
8;F325D4, 1, G432G6, 1;2023-03-31 00:00:00;2023-04-27 00:00:00;19;Одинцов Серафим Артёмович;908;Новый ;;;;
9;J532V5, 5, F256G6, 1;2023-04-02 00:00:00;2023-04-28 00:00:00;5;Степанов Михаил Артёмович;909;Новый ;;;;
10;F256G6, 5, J532V5, 5;2023-04-03 00:00:00;2023-04-29 00:00:00;19;Степанов Михаил Артёмович;910;Новый ;;;;

